岩手県,0.9512195121951219,土木関係の建設事業に要する経費の一部を負担させることに関し議決を求めることについて,水産関係の建設事業に要する経費の一部を負担させることに関する議決の変更に関し議決を求めることについて,議案第12号　水産関係の建設事業に要する経費の一部を負担させることに関する議決の変更に関し議決を求めることについて
岩手県,0.8048780487804879,土木関係の建設事業に要する経費の一部を負担させることに関し議決を求めることについて,土木関係の建設事業に要する経費の一部を負担させることに関する議決の変更に関し議決を求めることについて,議案第13号　土木関係の建設事業に要する経費の一部を負担させることに関する議決の変更に関し議決を求めることについて
岩手県,0.8235294117647058,岩手県県税条例の一部を改正する条例,岩手県防災会議条例の一部を改正する条例,議案第15号　岩手県防災会議条例の一部を改正する条例
岩手県,0.8571428571428571,岩手県港湾施設管理条例の一部を改正する条例,岩手県災害対策本部条例の一部を改正する条例,議案第16号　岩手県災害対策本部条例の一部を改正する条例
岩手県,0.8823529411764706,県営住宅等条例の一部を改正する条例,岩手県県税条例の一部を改正する条例,議案第17号　岩手県県税条例の一部を改正する条例
岩手県,0.8604651162790697,指定障害児通所支援の事業等の設備及び運営に関する基準等を定める条例の一部を改正する条例,指定障害児通所支援の事業等の設備及び運営に関する基準等を定める条例,議案第33号　指定障害児通所支援の事業等の設備及び運営に関する基準等を定める条例
岩手県,0.8809523809523809,指定居宅サービス等の事業の設備及び運営に関する基準等を定める条例の一部を改正する条例,指定居宅サービス等の事業の設備及び運営に関する基準等を定める条例,議案第38号　指定居宅サービス等の事業の設備及び運営に関する基準等を定める条例
岩手県,0.9411764705882353,県営住宅等条例の一部を改正する条例,県立都市公園条例の一部を改正する条例,議案第45号　県立都市公園条例の一部を改正する条例
岩手県,0.0,県営住宅等条例の一部を改正する条例,県営住宅等条例の一部を改正する条例,議案第47号　県営住宅等条例の一部を改正する条例
岩手県,0.6086956521739131,あっせんの申立てに関し議決を求めることについて,和解の申立てに関し議決を求めることについて,議案第51号　和解の申立てに関し議決を求めることについて
岩手県,0.0,損害賠償請求事件に係る和解及びこれに伴う損害賠償の額を定めることに関し議決を求めることについて,損害賠償請求事件に係る和解及びこれに伴う損害賠償の額を定めることに関し議決を求めることについて,議案第52号　損害賠償請求事件に係る和解及びこれに伴う損害賠償の額を定めることに関し議決を求めることについて
岩手県,0.8780487804878049,平成24年度岩手県工業用水道事業会計資本剰余金の処分に関し議決を求めることについて,平成23年度岩手県電気事業会計未処分利益剰余金の処分に関し議決を求めることについて,議案第56号　平成23年度岩手県電気事業会計未処分利益剰余金の処分に関し議決を求めることについて
岩手県,0.5121951219512195,平成24年度岩手県工業用水道事業会計資本剰余金の処分に関し議決を求めることについて,平成23年度岩手県工業用水道事業会計未処分利益剰余金の処分に関し議決を求めることについて,議案第57号　平成23年度岩手県工業用水道事業会計未処分利益剰余金の処分に関し議決を求めることについて
岩手県,0.84375,収用委員会の委員及び予備委員の任命に関し同意を求めることについて,教育委員会の委員の任命に関し同意を求めることについて,議案第58号　教育委員会の委員の任命に関し同意を求めることについて
岩手県,0.84375,収用委員会の委員及び予備委員の任命に関し同意を求めることについて,公安委員会の委員の任命に関し同意を求めることについて,議案第59号　公安委員会の委員の任命に関し同意を求めることについて
岩手県,0.3157894736842105,平成25年度岩手県立病院等事業会計予算,平成23年度岩手県立病院等事業会計決算,認定第１号　平成23年度岩手県立病院等事業会計決算
岩手県,0.35294117647058826,平成25年度岩手県電気事業会計予算,平成23年度岩手県電気事業会計決算,認定第２号　平成23年度岩手県電気事業会計決算
岩手県,0.3,平成25年度岩手県工業用水道事業会計予算,平成23年度岩手県工業用水道事業会計決算,認定第３号　平成23年度岩手県工業用水道事業会計決算
岩手県,0.9565217391304348,平成25年度岩手県母子寡婦福祉資金特別会計予算,平成23年度岩手県母子寡婦福祉資金特別会計歳入歳出決算,認定第５号　平成23年度岩手県母子寡婦福祉資金特別会計歳入歳出決算
岩手県,0.9565217391304348,平成25年度岩手県沿岸漁業改善資金特別会計予算,平成23年度岩手県沿岸漁業改善資金特別会計歳入歳出決算,認定第９号　平成23年度岩手県沿岸漁業改善資金特別会計歳入歳出決算
